title,movieId,avg_rating
Toy Story (1995),1,3.872469636
Jumanji (1995),2,3.401869159
Grumpier Old Men (1995),3,3.161016949
Waiting to Exhale (1995),4,2.384615385
Father of the Bride Part II (1995),5,3.267857143
Heat (1995),6,3.884615385
Sabrina (1995),7,3.283018868
Tom and Huck (1995),8,3.8
Sudden Death (1995),9,3.15
GoldenEye (1995),10,3.450819672
"American President, The (1995)",11,3.68902439
Dracula: Dead and Loving It (1995),12,2.861111111
Balto (1995),13,3.9375
Nixon (1995),14,3.451612903
Cutthroat Island (1995),15,2.318181818
Casino (1995),16,3.948863636
Sense and Sensibility (1995),17,3.924418605
Four Rooms (1995),18,3.288461538
Ace Ventura: When Nature Calls (1995),19,2.597826087
Money Train (1995),20,2.538461538
Get Shorty (1995),21,3.536842105
Copycat (1995),22,3.355263158
Assassins (1995),23,3.090909091
Powder (1995),24,3.044117647
Leaving Las Vegas (1995),25,3.742574257
Othello (1995),26,4.1
Now and Then (1995),27,3.142857143
Persuasion (1995),28,4.083333333
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",29,4.025
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),30,4.05
Dangerous Minds (1995),31,3.178571429
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),32,3.923469388
Babe (1995),34,3.601351351
Carrington (1995),35,3.545454545
Dead Man Walking (1995),36,3.9375
Across the Sea of Time (1995),37,2
It Takes Two (1995),38,2
Clueless (1995),39,3.55
"Cry, the Beloved Country (1995)",40,3.916666667
Richard III (1995),41,4.02173913
Dead Presidents (1995),42,2.333333333
Restoration (1995),43,3.625
Mortal Kombat (1995),44,2.697368421
To Die For (1995),45,3.523255814
How to Make an American Quilt (1995),46,3.166666667
Seven (a.k.a. Se7en) (1995),47,4.034825871
Pocahontas (1995),48,2.926229508
When Night Is Falling (1995),49,4
"Usual Suspects, The (1995)",50,4.370646766
Mighty Aphrodite (1995),52,3.637254902
Lamerica (1994),53,5
"Big Green, The (1995)",54,3.666666667
Georgia (1995),55,3.333333333
Home for the Holidays (1995),57,3.142857143
"Postman, The (Postino, Il) (1994)",58,4
"Confessional, The (Confessionnal, Le) (1995)",59,4
"Indian in the Cupboard, The (1995)",60,2.828125
Eye for an Eye (1996),61,3.571428571
Mr. Holland's Opus (1995),62,3.689655172
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),63,2.833333333
Two if by Sea (1996),64,2.4
Bio-Dome (1996),65,2.025
Lawnmower Man 2: Beyond Cyberspace (1996),66,2
French Twist (Gazon maudit) (1995),68,3.5
Friday (1995),69,3.818181818
From Dusk Till Dawn (1996),70,3.020833333
Fair Game (1995),71,2.428571429
Kicking and Screaming (1995),72,3.166666667
"Misérables, Les (1995)",73,4.115384615
Bed of Roses (1996),74,3.026315789
Screamers (1995),76,3.333333333
Nico Icon (1995),77,4
"Crossing Guard, The (1995)",78,3.2
"Juror, The (1996)",79,2.961538462
"White Balloon, The (Badkonake sefid) (1995)",80,4.625
Things to Do in Denver When You're Dead (1995),81,3.25
Antonia's Line (Antonia) (1995),82,3.8
Once Upon a Time... When We Were Colored (1995),83,3
Last Summer in the Hamptons (1995),84,4
Angels and Insects (1995),85,4.0625
White Squall (1996),86,3.764705882
Dunston Checks In (1996),87,1.666666667
Black Sheep (1996),88,2.891304348
Nick of Time (1995),89,3.441176471
Mary Reilly (1996),92,3.541666667
Vampire in Brooklyn (1995),93,2.227272727
Beautiful Girls (1996),94,3.568181818
Broken Arrow (1996),95,3.177419355
In the Bleak Midwinter (1995),96,1
"Hate (Haine, La) (1995)",97,3.875
Shopping (1994),98,3
Heidi Fleiss: Hollywood Madam (1995),99,2.75
City Hall (1996),100,3.428571429
Bottle Rocket (1996),101,3.882352941
Mr. Wrong (1996),102,2.590909091
Unforgettable (1996),103,4
Happy Gilmore (1996),104,3.292553191
"Bridges of Madison County, The (1995)",105,3.114583333
Muppet Treasure Island (1996),107,3.462962963
Catwalk (1996),108,4
Braveheart (1995),110,3.945175439
Taxi Driver (1976),111,4.224576271
Rumble in the Bronx (Hont faan kui) (1995),112,3.295918367
Before and After (1996),113,3.2
Margaret's Museum (1995),114,3
Anne Frank Remembered (1995),116,4.75
"Young Poisoner's Handbook, The (1995)",117,3
If Lucy Fell (1996),118,2.8
"Steal Big, Steal Little (1995)",119,3
"Boys of St. Vincent, The (1992)",121,3.8
Boomerang (1992),122,3.052631579
Chungking Express (Chung Hing sam lam) (1994),123,4
"Star Maker, The (Uomo delle stelle, L') (1995)",124,3
Flirting With Disaster (1996),125,3.714285714
"NeverEnding Story III, The (1994)",126,2.7
Pie in the Sky (1996),129,3
Angela (1995),130,4.5
Frankie Starlight (1995),131,2
Jade (1995),132,2.875
Down Periscope (1996),135,3
Man of the Year (1995),137,1
Up Close and Personal (1996),140,3.47826087
"Birdcage, The (1996)",141,3.580645161
"Brothers McMullen, The (1995)",144,3.326923077
Bad Boys (1995),145,3.279069767
"Amazing Panda Adventure, The (1995)",146,4.333333333
"Basketball Diaries, The (1995)",147,3.642857143
"Awfully Big Adventure, An (1995)",148,4
Amateur (1994),149,4.333333333
Apollo 13 (1995),150,3.9025
Rob Roy (1995),151,3.5625
"Addiction, The (1995)",152,3.833333333
Batman Forever (1995),153,2.782945736
Beauty of the Day (Belle de jour) (1967),154,3.8125
Beyond Rangoon (1995),155,3.055555556
Blue in the Face (1995),156,3.954545455
Canadian Bacon (1995),157,2.375
Casper (1995),158,2.870689655
Clockers (1995),159,3.9375
Congo (1995),160,2.341269841
Crimson Tide (1995),161,3.83125
Crumb (1994),162,4.136363636
Desperado (1995),163,3.515873016
Devil in a Blue Dress (1995),164,3.557692308
Die Hard: With a Vengeance (1995),165,3.443661972
"Doom Generation, The (1995)",166,3
Feast of July (1995),167,4
First Knight (1995),168,3.11627907
Free Willy 2: The Adventure Home (1995),169,2.5625
Hackers (1995),170,3.288461538
Jeffrey (1995),171,4.333333333
Johnny Mnemonic (1995),172,2.572916667
Judge Dredd (1995),173,2.564285714
Jury Duty (1995),174,2.25
Kids (1995),175,3.956521739
Living in Oblivion (1995),176,3.777777778
Lord of Illusions (1995),177,2.884615385
Love & Human Remains (1993),178,4.7
Mad Love (1995),179,3.5
Mallrats (1995),180,3.306818182
Mighty Morphin Power Rangers: The Movie (1995),181,1.8
Mute Witness (1994),183,5
Nadja (1994),184,4.5
"Net, The (1995)",185,3.102941176
Nine Months (1995),186,2.875
Party Girl (1995),187,2.833333333
"Prophecy, The (1995)",188,3.125
Reckless (1995),189,4
Safe (1995),190,3.833333333
"Scarlet Letter, The (1995)",191,3
Showgirls (1995),193,2.314285714
Smoke (1995),194,4.291666667
Something to Talk About (1995),195,3.214285714
Species (1995),196,2.809090909
Strange Days (1995),198,3.441860465
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",199,3.333333333
"Tie That Binds, The (1995)",200,4
Three Wishes (1995),201,4
Total Eclipse (1995),202,3
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",203,3.304347826
Under Siege 2: Dark Territory (1995),204,3
Unstrung Heroes (1995),205,4
Unzipped (1995),206,3.6
"Walk in the Clouds, A (1995)",207,3.375
Waterworld (1995),208,2.752212389
White Man's Burden (1995),209,2.6
"Browning Version, The (1994)",211,3.333333333
Burnt by the Sun (Utomlyonnye solntsem) (1994),213,4.222222222
Before the Rain (Pred dozhdot) (1994),214,3
Before Sunrise (1995),215,3.722222222
Billy Madison (1995),216,3.023809524
"Babysitter, The (1995)",217,2.714285714
Boys on the Side (1995),218,3.333333333
"Cure, The (1995)",219,4.25
Castle Freak (1995),220,3
Circle of Friends (1995),222,3.931818182
Clerks (1994),223,3.963302752
Don Juan DeMarco (1995),224,3.6
Disclosure (1994),225,3.173076923
Drop Zone (1994),227,3.15625
Destiny Turns on the Radio (1995),228,2
Death and the Maiden (1994),229,4.083333333
Dolores Claiborne (1995),230,3.7
Dumb & Dumber (Dumb and Dumber) (1994),231,3.110759494
Eat Drink Man Woman (Yin shi nan nu) (1994),232,4.208333333
Exotica (1994),233,4.269230769
Exit to Eden (1994),234,2.75
Ed Wood (1994),235,3.903846154
French Kiss (1995),236,3.358333333
Forget Paris (1995),237,3.191176471
Far From Home: The Adventures of Yellow Dog (1995),238,3
"Goofy Movie, A (1995)",239,2.933333333
Hideaway (1995),240,3.4
Fluke (1995),241,3.5
Farinelli: il castrato (1994),242,3.75
Gordy (1995),243,4
Gumby: The Movie (1995),244,3
The Glass Shield (1994),245,3
Hoop Dreams (1994),246,4.040983607
Heavenly Creatures (1994),247,3.651162791
Houseguest (1994),248,3.153846154
Immortal Beloved (1994),249,3.375
Heavyweights (Heavy Weights) (1995),250,3.25
"Hunted, The (1995)",251,3
I.Q. (1994),252,3.06097561
Interview with the Vampire: The Vampire Chronicles (1994),253,3.396
Jefferson in Paris (1995),254,3
"Jerky Boys, The (1995)",255,2.2
Junior (1994),256,2.702380952
Just Cause (1995),257,3.576923077
"Kid in King Arthur's Court, A (1995)",258,2.5
Kiss of Death (1995),259,3.7
Star Wars: Episode IV - A New Hope (1977),260,4.221649485
Little Women (1994),261,3.715686275
"Little Princess, A (1995)",262,3.85
Ladybird Ladybird (1994),263,3
"Enfer, L' (1994)",264,4.5
Like Water for Chocolate (Como agua para chocolate) (1992),265,3.879032258
Legends of the Fall (1994),266,3.48630137
Major Payne (1995),267,2.730769231
Little Odessa (1994),268,4.25
My Crazy Life (Mi vida loca) (1993),269,3.666666667
Love Affair (1994),270,3.222222222
Losing Isaiah (1995),271,3.5
"Madness of King George, The (1994)",272,4
Mary Shelley's Frankenstein (Frankenstein) (1994),273,3.12962963
Man of the House (1995),274,2.666666667
Mixed Nuts (1994),275,2.8
Milk Money (1994),276,2.863636364
Miracle on 34th Street (1994),277,3.357142857
Miami Rhapsody (1995),278,3
My Family (1995),279,2.875
