title,movieId,avg_rating
Malibu's Most Wanted (2003),6298,0.5
"Henry V (Chronicle History of King Henry the Fift with His Battell Fought at Agincourt in France, The) (1944)",25901,0.5
"Angel at My Table, An (1990)",6671,0.5
Paul Blart: Mall Cop (2009),65802,0.5
Horrors of Spider Island (Ein Toter Hing im Netz) (1960),4051,0.5
Yu-Gi-Oh! (2004),8811,0.5
"I, Frankenstein (2014)",108689,0.5
"Front Page, The (1974)",7093,0.5
Shall We Kiss? (Un baiser s'il vous plait) (2007),68884,0.5
Shiver (Eskalofrío) (2008),69974,0.5
